Registro N°,N° L. Venta,Producto,Registrante,P.Activo,Situación,Formulacion,Fabricante,País Origen,Resolución,Habilitación,Vencimiento,Mantenimiento,Clase de Uso,Toxicologia
4844,4699,ZETA 500 SC                                                                                                                                                                                             ,PROQUIMUR PARAGUAY S.A.                                                                             , CLOROTALONIL 50.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,PROQUIMUR S.A.                                                                       ,URUGUAY             ,947/16         ,2016-10-27,2026-10-27,2024-03-31,FUNGICIDA,III                 
4845,4701,DAGGER                                                                                                                                                                                                  ,TECNOMYL S.A.                                                                                       , IMIDACLOPRID 40.000 %; BIFENTRIN 15.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,974/16         ,2016-11-03,2026-11-03,2024-03-31,INSECTICIDA,II                  
4846,4702,RUBI MAX                                                                                                                                                                                                ,SOMAX AGRO S.A.                                                                                     , TIAMETOXAM 22.000 %; LAMBDACIALOTRINA 16.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,974/16         ,2016-11-03,2026-11-03,2024-03-31,INSECTICIDA,III                 
4847,4704,CARBENDAZIM 50 SC AGRO PLUS                                                                                                                                                                             ,AGRO PLUS S.A.                                                                                      , CARBENDAZIM 50.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,Ningxia Wynca Technology Co. Ltd.                                                    ,CHINA               ,974/16         ,2016-11-09,2026-11-09,2024-03-31,FUNGICIDA,IV                  
4848,4703,SINATRA                                                                                                                                                                                                 ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , TRIFLOXISTROBIN 37.500 %; CIPROCONAZOLE 16.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,CHD´S AGROCHEMICALS S.A.I.C.                                                         ,PARAGUAY            ,974/16         ,2016-11-03,2026-11-03,2024-03-31,FUNGICIDA,III                 
4849,4705,CROWN                                                                                                                                                                                                   ,GLYMAX PARAGUAY S.A                                                                                 , PROTHIOCONAZOLE 17.500 %; TRIFLOXISTROBIN 15.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,1013/16        ,2016-11-16,2026-11-16,2024-03-31,FUNGICIDA,IV                  
4850,4706,BROWSER                                                                                                                                                                                                 ,UPL PARAGUAY S.A.                                                                                   , PICLORAM 24.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,VOLCANO AGROCIENCIA INDUSTRIA E COMERCIO DEFENSIVO AGRICOLA LTD.                     ,BRASIL              ,1034           ,2016-11-14,2026-11-14,2024-03-31,HERBICIDA,IV                  
4851,0,MANCOZEB TECNICO                                                                                                                                                                                        ,TECNOMYL S.A.                                                                                       , MANCOZEB 85.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,Coromandel International Limited                                                     ,INDIA               ,1034           ,2016-11-14,2026-11-14,2024-03-31,FUNGICIDA,IV                  
4852,4707,TRYDENTE                                                                                                                                                                                                ,DVA AGRO PARAGUAY S.R.L.                                                                            , TIAMETOXAM 12.500 %; LAMBDACIALOTRINA 6.250 %; LUFENURON 6.250 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,COMPAÑIA CIBELES S.A                                                                 ,URUGUAY             ,               ,2016-11-24,2026-11-24,2024-03-31,INSECTICIDA,II                  
4853,4708,AGROCAMBA 480 SL                                                                                                                                                                                        ,AAGROCO PARAGUAY S.R.L.                                                                             , DICAMBA 48.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,Zhejiang Shenghua Biok Biology Co. Ltd.                                              ,CHINA               ,1041           ,2016-11-28,2026-11-28,2024-03-31,HERBICIDA,II                  
4854,4709,COLOSSUS                                                                                                                                                                                                ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , AZOXYSTROBIN 13.000 %; CIPROCONAZOLE 10.000 %; PROPICONAZOLE 10.000 %,DEFINITIVO          ,SUSPO/EMULSION                                                                                      ,CHD´S AGROCHEMICALS S.A.I.C.                                                         ,PARAGUAY            ,1041           ,2016-11-28,2026-11-28,2024-03-31,FUNGICIDA,IV                  
4855,4710,LOMBOK PY                                                                                                                                                                                               ,PROQUIMUR PARAGUAY S.A.                                                                             , AZOXYSTROBIN 20.000 %; CIPROCONAZOLE 12.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,1041           ,2016-11-28,2026-11-28,2024-03-31,FUNGICIDA,IV                  
4856,4711,DEFENSIS MAX                                                                                                                                                                                            ,SOMAX AGRO S.A.                                                                                     , TRIFLOXISTROBIN 15.000 %; PROTHIOCONAZOLE 17.500 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,AGROHAO COMPANY LTD.                                                                 ,CHINA               ,1041           ,2016-11-28,2026-11-28,2024-03-31,FUNGICIDA,IV                  
4857,4749,PROTERA 600 WG                                                                                                                                                                                          ,GLYMAX PARAGUAY S.A                                                                                 , DINOTEFURAN 60.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,1041           ,2017-02-16,2027-02-16,2024-03-31,INSECTICIDA,IV                  
4858,4712,MAZETA 70 WP                                                                                                                                                                                            ,C&L GROUP S.A.                                                                                      , IMAZETHAPYR 70.000 %,DEFINITIVO          ,POLVO MOJABLE (WP)                                                                                  ,"SHENYANG SCIENCREAT CHEMICALS CO., LTD.                                              ",CHINA               ,1041           ,2016-12-19,2026-12-19,2020-06-30,HERBICIDA,IV                  
4859,4713,BLINDAJE 430                                                                                                                                                                                            ,DEMETRA  AGROBUSINESS S.A.                                                                          , MANCOZEB 43.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,TAMPA S.A.                                                                           ,URUGUAY             ,1041/16        ,2016-11-23,2026-11-23,2022-03-31,FUNGICIDA,IV                  
4860,4714,PARAGROP 24                                                                                                                                                                                             ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , Paraquat Dicloruro 24.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,014/2017       ,2017-01-09,2027-01-09,2023-07-30,HERBICIDA,II                  
4861,0,LUFENURON 98%                                                                                                                                                                                           ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , LUFENURON 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU FLAG CHEMICAL INDUSTRY CO. LTDA.                                             ,CHINA               ,014/2017       ,2017-01-11,2027-01-11,2023-07-30,INSECTICIDA ACARICIDA,IV                  
4862,0,HUSSAR PLUS                                                                                                                                                                                             ,BAYER S.A.                                                                                          , IODOSULFUROM - METIL - SODIO 5.000 %; MESOSULFURON METHIL 0.750 %,CANCELADO           ,DISPERSION OLEOSA (OD)                                                                              ,BAYER CROPSCIENCE AG                                                                 ,ALEMANIA            ,014/17         ,2017-01-09,2019-01-09,2018-05-30,HERBICIDA,III                 
4864,4715,ORGLIF K77                                                                                                                                                                                              ,NOVARA S.A.                                                                                         , GLIFOSATO SAL DE POTASIO 77.000 %,DEFINITIVO          ,GRANULOS SOLUBLES                                                                                   ,ZHEJIANG XINAN  CHEMICAL INDUSTRIAL  GROUP CO. LTD.                                  ,CHINA               ,023/17         ,2017-01-11,2027-01-11,2023-07-30,HERBICIDA,IV                  
4865,4716,BLOWER                                                                                                                                                                                                  ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , LUFENURON 20.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,023/17         ,2017-01-11,2027-01-11,2023-07-30,INSECTICIDA,III                 
4866,0,"PIRIPROXYFEN 97,3%                                                                                                                                                                                      ",TECNOMYL S.A.                                                                                       , Pyriproxyfen 97.300 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU FLAG CHEMICAL INDUSTRY CO. LTDA.                                             ,CHINA               ,023/17         ,2017-01-11,2027-01-11,2024-03-31,INSECTICIDA,IV                  
4867,4717,ZAPPIT                                                                                                                                                                                                  ,TECNOMYL S.A.                                                                                       , ACETAMIPRID 20.000 %; PIRIPROXIFEN 12.000 %,DEFINITIVO          ,MICROEMULSION (ME)                                                                                  ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,023/17         ,2017-01-11,2027-01-11,2024-03-31,INSECTICIDA,II                  
4868,4718,PRIZE PLUS                                                                                                                                                                                              ,RAINBOW AGROSCIENCES S.A.                                                                           , LUFENURON 40.000 %; EMAMECTINA BENZOATO 10.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,SHANDONG WEIFANG RAINBOW CHEMICAL CO. LTD.                                           ,CHINA               ,023/17         ,2017-01-11,2027-01-11,2024-03-31,INSECTICIDA,II                  
4869,0,CIPROCONAZOLE 96%                                                                                                                                                                                       ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , CIPROCONAZOLE 96.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU SEVENCONTINENT GREEN CHEMICAL CO. LTD.                                       ,CHINA               ,047/17         ,2017-01-24,2027-01-24,2023-07-30,FUNGICIDA,III                 
4870,5338,GIANT 480 SC                                                                                                                                                                                            ,GLYMAX PARAGUAY S.A                                                                                 , MESOTRIONE 48.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,047/17         ,2018-05-09,2028-05-09,2024-03-31,HERBICIDA,III                 
4871,4719,THIAMETHOXAM 75 AGRO PLUS                                                                                                                                                                               ,AGRO PLUS S.A.                                                                                      , TIAMETOXAM 75.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"HANGZHOU HULK CHEMICAL CO., LTD                                                      ",CHINA               ,049/17         ,2017-01-25,2027-01-25,2024-03-31,INSECTICIDA,IV                  
4872,4720,GLIFOSATO SAL POTASIO AGRO PLUS                                                                                                                                                                         ,AGRO PLUS S.A.                                                                                      , GLIFOSATO SAL DE POTASIO 77.000 %,DEFINITIVO          ,GRANULADO SOLUBLE (SG)                                                                              ,ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO LTD.                                     ,CHINA               ,049/17         ,2017-01-25,2027-01-25,2023-07-30,HERBICIDA,IV                  
4873,4721,AKTROS 600 WP                                                                                                                                                                                           ,AMERICA LATINA AGRISCIENCES S.A. ( ALAG S.A.)                                                       , METSULFURON METIL 60.000 %,DEFINITIVO          ,POLVO MOJABLE (WP)                                                                                  ,"JIANGSU TIANRONG GROUP CO., LTD.                                                     ",CHINA               ,049/17         ,2017-01-25,2027-01-25,2024-03-31,HERBICIDA,IV                  
4874,4722,TORDON® EXTRA                                                                                                                                                                                           ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    ," AMINOPIRALIDA ÁCIDO (EQUIVALENTE A AMINOPIRALIDA SAL DE DIMETILAMINA 6,1%) 5.000 %; 2,4-D ACIDO (EQUIVALENTE A LA SAL DIMETILAMINA 2,4-D (48,2%)) 40.000 %",DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,CORTEVA AGRISCIENCE DE COLOMBIA S.A.S.                                               ,COLOMBIA            ,049/17         ,2017-01-25,2027-01-25,2024-03-31,HERBICIDA,II                  
4875,4723,SOLOMON O-TEQ®                                                                                                                                                                                          ,BAYER S.A.                                                                                          , IMIDACLOPRID 21.000 %; BETA CIFLUTRIN 9.000 %,DEFINITIVO          ,DISPERSION OLEOSA (OD)                                                                              ,BAYER AG                                                                             ,ALEMANIA            ,049/17         ,2017-01-25,2027-01-25,2024-03-31,INSECTICIDA,II                  
4876,4724,EFICIENTE 95 SG                                                                                                                                                                                         ,AGROTEC S.A .                                                                                       , ACEFATO 95.000 %,DEFINITIVO          ,GRANULADO SOLUBLE (SG)                                                                              ,"JIANGSU LANFENG BIOCHEMICAL CO., LTD.                                                ",CHINA               ,049            ,2017-01-25,2027-01-25,2024-03-31,INSECTICIDA,III                 
4877,5002,SAFETY                                                                                                                                                                                                  ,MATRISOJA S.A.                                                                                      , Cyhalodiamide 20.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,NINGBO SUNJOY AGROSCIENCES CO. LTD.                                                  ,CHINA               ,049/17         ,2017-11-03,2027-11-03,2024-03-31,INSECTICIDA,II                  
4878,4725,PRIXX 280 SC                                                                                                                                                                                            ,GLYMAX PARAGUAY S.A                                                                                 , PICOXYSTROBIN 20.000 %; CIPROCONAZOLE 8.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,096/17         ,2017-02-10,2027-02-10,2024-03-31,FUNGICIDA,III                 
4879,4726,SISTIVA                                                                                                                                                                                                 ,BASF PARAGUAYA S.A                                                                                  , FLUXAPYROSAD 33.300 %,DEFINITIVO          ,SUSPENSION CONCENTRADA P/ TRAT. DE SEMILLA (FS)                                                     ,BASF AGRI-PRODUCTION S.A.S.                                                          ,FRANCIA             ,096/2017       ,2017-01-25,2027-01-25,2024-03-31,FUNGICIDA,III                 
4880,4727,RUBI TOP                                                                                                                                                                                                ,SOMAX AGRO S.A.                                                                                     , TIAMETOXAM 18.750 %; BIFENTRINA 12.500 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,AGROHAO COMPANY LTD.                                                                 ,CHINA               ,096/2017       ,2017-01-25,2027-01-25,2024-03-31,INSECTICIDA,II                  
4881,4737,PUZATE XTRA                                                                                                                                                                                             ,RAINBOW AGROSCIENCES S.A.                                                                           , IMAZETAPIR 70.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,Shandong Weifang Rainbow Chemicals Co. Ltd.                                          ,CHINA               ,096/2017       ,2017-02-09,2027-02-09,2024-03-31,HERBICIDA,IV                  
4882,4728,AGROTOXAM 750 WG                                                                                                                                                                                        ,AGROFUTURO PARAGUAY S.A.                                                                            , TIAMETOXAM 75.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,AGROFUTURO PARAGUAY S.A.                                                             ,PARAGUAY            ,096/2017       ,2017-01-25,2027-01-25,2024-03-31,INSECTICIDA,IV                  
4883,4730,FALKER 750 WG                                                                                                                                                                                           ,GLYMAX PARAGUAY S.A                                                                                 , MANCOZEB 75.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,107            ,2017-02-16,2027-02-16,2024-03-31,FUNGICIDA,IV                  
4884,4734,APROACH POWER                                                                                                                                                                                           ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , PICOXISTROBINA 9.000 %; CIPROCONAZOL 4.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,RIZOBACTER ARGENTINA S.A.                                                            ,ARGENTINA           ,107            ,2017-02-16,2027-02-16,2024-03-31,FUNGICIDA,II                  
4885,4731,EQUS PY                                                                                                                                                                                                 ,PROQUIMUR PARAGUAY S.A.                                                                             , TIAMETOXAM 22.000 %; LAMBDACIALOTRINA 16.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SHANGHAI E-TONG CHEMICAL CO. LTD.                                                    ,CHINA               ,107            ,2017-02-16,2027-02-16,2024-03-31,INSECTICIDA,II                  
4886,4732,FIPROON 80                                                                                                                                                                                              ,TAFIREL PARAGUAY S.A.                                                                               , FIPRONIL 80.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,JIANGSU TUOQIU AGRICHEMICALS CO. LTD.                                                ,CHINA               ,107            ,2017-02-16,2027-02-16,2023-07-30,INSECTICIDA,II                  
4887,4733,SNAKER                                                                                                                                                                                                  ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , Imazapir Acido 25.000 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,CHD´S AGROCHEMICALS S.A.I.C.                                                         ,PARAGUAY            ,107            ,2017-02-16,2027-02-16,2024-03-31,HERBICIDA,IV                  
4889,4735,FORTENZA                                                                                                                                                                                                ,SYNGENTA PARAGUAY S.A.                                                                              , CIANTRANILIPROL 60.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA P/ TRAT. DE SEMILLA (FS)                                                     ,SYNGENTA CROP PROTECTION INC                                                         ,ESTADOS UNIDOS      ,107            ,2017-02-16,2027-02-15,2024-03-31,INSECTICIDA,IV                  
4890,4736,TURIM MAX                                                                                                                                                                                               ,SOMAX AGRO S.A.                                                                                     , IMIDACLOPRID 40.000 %; BIFENTRIN 10.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,AGROHAO COMPANY LTD.                                                                 ,CHINA               ,107            ,2017-02-16,2027-02-16,2024-03-31,INSECTICIDA,III                 
4891,5276,CAMIX                                                                                                                                                                                                   ,SYNGENTA PARAGUAY S.A.                                                                              , MESOTRIONE 8.330 %; S-Metolachlor 41.670 %,DEFINITIVO          ,SUSPO/EMULSION                                                                                      ,SYNGENTA SOUTH AFRICA (PTY) LIMITED                                                  ,SUDAFRICA           ,107            ,2018-04-13,2028-04-13,2024-03-31,HERBICIDA,II                  
4892,0,IMAZAPYR TECNICO                                                                                                                                                                                        ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , IMAZAPIR 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,WEIFANG CYNDA CHEMICAL CO. LTD.                                                      ,CHINA               ,107            ,2017-02-16,2027-02-16,2024-03-31,HERBICIDA,IV                  
4893,4738,PRIMITY                                                                                                                                                                                                 ,MATRISOJA S.A.                                                                                      , BIFENTRIN 10.000 %; CARBOSULFAN 30.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,Ningbo Sunjoy Agrosciences Co. Ltd                                                   ,CHINA               ,117            ,2017-02-20,2027-02-20,2024-03-31,INSECTICIDA ACARICIDA,II                  
4894,4739,STATEMENT                                                                                                                                                                                               ,TECNOMYL S.A.                                                                                       , PROPICONAZOLE 25.000 %; PYRACLOSTROBIN 13.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,TECNOMYL S.A.                                                                        ,PARAGUAY            ,117            ,2017-02-20,2027-02-20,2024-03-31,FUNGICIDA,III                 
4895,4740,WARDEN                                                                                                                                                                                                  ,DVA AGRO PARAGUAY S.R.L.                                                                            , TIAMETOXAM 35.000 %; FIPRONIL 15.000 %,DEFINITIVO          ,SUSPENCION CONCENTRADA P/ TRATAMIENTO DE SEMILLAS                                                   ,COMPAÑIA CIBELES S.A                                                                 ,URUGUAY             ,117            ,2017-02-10,2027-02-10,2023-07-30,INSECTICIDA PARA TRATAMIENTO DE SEMILLA,II                  
4896,4748,NARVAL 20 SC                                                                                                                                                                                            ,DEMETRA  AGROBUSINESS S.A.                                                                          , FIPRONIL 20.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,SINOCHEM NINGBO LTD.                                                                 ,CHINA               ,117            ,2017-02-10,2027-02-10,2024-03-31,INSECTICIDA,II                  
4897,4741,NUKEM 750 WDG                                                                                                                                                                                           ,AMERICA LATINA AGRISCIENCES S.A. ( ALAG S.A.)                                                       , MANCOZEB 75.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,HAILIR PESTICIDES AND CHEMICALS GROUP CO LTD.                                        ,CHINA               ,117/17         ,2017-02-10,2027-02-10,2024-03-31,FUNGICIDA,IV                  
4898,4742,DURFLEX                                                                                                                                                                                                 ,AGROGANADERA SAN JOSE OBRERO S.A.                                                                   , CLORPIRIFOS 1.000 %,DEFINITIVO          ,NO CORRESPONDE                                                                                      ,TRILEX CA / ECUADOR                                                                  ,ECUADOR             ,117            ,2017-02-10,2027-02-10,2024-03-31,INSECTICIDA,II                  
4899,4743,BIFLEX TREEBaGS 0.1%                                                                                                                                                                                    ,AGROGANADERA SAN JOSE OBRERO S.A.                                                                   , BIFENTRIN 0.100 %,DEFINITIVO          ,NO CORRESPONDE                                                                                      ,TRILEX CA / ECUADOR                                                                  ,ECUADOR             ,117/17         ,2017-02-10,2027-02-10,2024-03-31,INSECTICIDA,III                 
4900,4799,TEXARO®                                                                                                                                                                                                 ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , DICLOSULAM 58.000 %; Halauxifen Metil 11.500 %,DEFINITIVO          ,GRANULOS DISPERSABLES (WG)                                                                          ,CORTEVA AGRISCIENCE LLC                                                              ,ESTADOS UNIDOS      ,117            ,2017-04-25,2027-04-25,2024-03-31,HERBICIDA,IV                  
4901,4744,GLIFEX FULL K                                                                                                                                                                                           ,TAFIREL PARAGUAY S.A.                                                                               , GLIFOSATO SAL POTASICA 66.200 %,DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,"JINGMA CHEMICALS CO., LTD.                                                           ",CHINA               ,117            ,2017-02-10,2027-02-10,2023-07-30,HERBICIDA,III                 
4902,0,HEXAZINONE TECH 98%                                                                                                                                                                                     ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , HEXAXINONA 98.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU FLAG CHEMICAL INDUSTRY CO. LTDA.                                             ,CHINA               ,117            ,2017-02-10,2027-02-10,2021-06-30,HERBICIDA,III                 
4903,4745,GLIFEX MAX                                                                                                                                                                                              ,TAFIREL PARAGUAY S.A.                                                                               , Glifosato Sal Amonica 75.700 %,DEFINITIVO          ,GRANULADO SOLUBLE (SG)                                                                              ,"JINGMA CHEMICALS CO., LTD.                                                           ",CHINA               ,117            ,2017-02-10,2027-02-10,2023-07-30,HERBICIDA,III                 
4904,4746,CAYENNE 60 SC                                                                                                                                                                                           ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , IMIDACLOPRID 60.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,117            ,2017-02-10,2027-02-10,2023-07-30,INSECTICIDA,II                  
4905,4747,GALIL SC                                                                                                                                                                                                ,ADAMA PARAGUAY S.R.L.                                                                               , BIFENTRIN 5.000 %; IMIDACLOPRID 25.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,ADAMA Brasil S.A.                                                                    ,BRASIL              ,117            ,2017-02-10,2027-02-10,2024-03-31,INSECTICIDA,II                  
4906,0,TEBUCONAZOLE TC                                                                                                                                                                                         ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    , TEBUCONAZOLE 97.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,JIANGSU SEVENCONTINENT GREEN CHEMICAL CO. LTD.                                       ,CHINA               ,117            ,2017-02-10,2027-02-10,2023-07-30,FUNGICIDA,III                 
4907,4780,RUMO                                                                                                                                                                                                    ,MATRISOJA S.A.                                                                                      , Chlorfenapyr 70.000 %; TEFLUBENZURON 4.000 %,DEFINITIVO          ,GRANULOS DISPERSABLES EN AGUA                                                                       ,Ningbo Sunjoy Agrosciences Co. Ltd                                                   ,CHINA               ,117            ,2017-03-30,2027-03-30,2024-03-31,INSECTICIDA,III                 
4908,0,TMP TUBO MATA PICUDO                                                                                                                                                                                    ,COOPERATIVA CHORTITZER LTDA.                                                                        , MALATION 26.000 %; GRANDLURE 0.330 %,PROVISIONAL         ,PASTA + ADHERENTE                                                                                   ,PLATO INDUSTRIES INC.                                                                ,ESTADOS UNIDOS      ,049/17         ,2017-01-12,2017-12-31,2018-03-31,INSECTICIDA,III                 
4909,0,CLORPIRIFOS GRADO TÉCNICO                                                                                                                                                                               ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , CLORPIRIFOS 97.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"SHANDONG A VILIVE CHEMICAL CO., LTD                                                  ",CHINA               ,130/17         ,2017-02-03,2027-02-03,2024-03-31,INSECTICIDA,II                  
4910,4750,"2,4 D CIAGROPA                                                                                                                                                                                          ",CIA. DE AGROQUIMICOS DEL PARAGUAY S.A.(CIAGROPA)                                                    ," 2,4-D SAL DIMETILAMINA 72.000 %",DEFINITIVO          ,CONCENTRADO SOLUBLE (SL)                                                                            ,CIA. DE AGROQUIMICOS DEL PARAGUAY S.A. (CIAGROPA)                                    ,PARAGUAY            ,138/17         ,2017-03-02,2027-03-02,2023-07-30,HERBICIDA,II                  
4911,4751,MEGATHON 10 WG                                                                                                                                                                                          ,AGROQUIMICA DEL PARAGUAY S.A                                                                        , BENZOATO DE EMAMECTINA 10.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,AGROHAO COMPANY LTD.                                                                 ,CHINA               ,138/17         ,2017-03-02,2027-03-02,2023-07-30,INSECTICIDA,II                  
4912,4752,PYRIPROX 350 EC                                                                                                                                                                                         ,AMERICA LATINA AGRISCIENCES S.A. ( ALAG S.A.)                                                       , Pyriproxyfen 35.000 %,DEFINITIVO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HAILIR PESTICIDES AND CHEMICALS GROUP CO LTD.                                        ,CHINA               ,138/17         ,2017-03-02,2027-03-02,2024-03-31,INSECTICIDA,II                  
4913,4754,EMITA 10 WG                                                                                                                                                                                             ,C&L GROUP S.A.                                                                                      , EMAMECTINA BENZOATO 10.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,"HIMS AGROSCIENCE CO., LTD                                                            ",CHINA               ,138/17         ,2017-03-02,2027-03-02,2020-06-30,INSECTICIDA,IV                  
4914,4753,TROBIN 12 PLUS                                                                                                                                                                                          ,ADAKEM S.A.                                                                                         , AZOXYSTROBIN 20.000 %; CIPROCONAZOLE 12.000 %; CARBENDAZIM 30.000 %,DEFINITIVO          ,SUSPENSION CONCENTRADA (SC)                                                                         ,AGROFUTURO PARAGUAY S.A.                                                             ,PARAGUAY            ,138/17         ,2017-03-02,2027-03-02,2024-03-31,FUNGICIDA,IV                  
